timestamps,TP9,AF7,AF8,TP10,Marker0
0.740,-70.801,33.691,-1.953,-69.336,0
0.744,-76.172,21.484,-14.160,-59.570,NaN
0.748,-77.637,20.020,-5.371,-52.734,0
0.752,-79.102,37.598,2.441,-62.500,0
0.755,-73.242,48.340,-2.441,-60.059,0
0.759,-67.871,40.527,8.789,-49.805,0
0.763,-69.336,37.598,18.555,-52.246,0
0.767,-65.918,41.992,17.090,-56.641,NaN
0.771,-57.617,45.410,5.859,-54.688,NaN
0.775,-60.059,40.527,0.000,-54.688,NaN
0.769,-61.035,35.156,8.301,-51.758,0
0.773,-67.383,37.598,8.789,-53.223,0
0.777,-74.219,34.668,6.836,-47.852,0
0.781,-68.359,22.461,7.812,-48.828,NaN
0.785,-64.453,22.461,10.254,-55.664,0
0.789,-61.523,31.738,3.906,-57.129,0
0.792,-60.059,21.484,7.324,-53.223,0
0.796,-63.965,6.348,31.250,-49.316,0
0.800,-62.988,8.301,41.992,-48.340,NaN
0.804,-61.523,19.531,33.691,-54.688,0
0.808,-63.965,29.297,25.879,-48.828,0
0.812,-70.312,25.391,28.320,-43.457,0
0.825,-76.660,36.621,29.297,-51.758,0
0.829,-77.637,42.480,31.738,-51.270,NaN
0.833,-85.449,29.785,30.273,-57.129,0
0.837,-91.797,27.344,21.973,-63.965,0
0.841,-82.031,25.879,18.555,-55.176,0
0.845,-67.383,10.254,15.137,-48.340,0
0.848,-58.594,0.488,13.184,-46.875,NaN
0.852,-57.129,5.371,25.879,-29.297,0
0.856,-53.711,8.301,22.949,-26.367,0
0.860,-51.758,20.508,16.602,-37.598,0
0.864,-51.758,22.461,36.621,-33.203,0
0.868,-56.152,18.555,44.922,-38.574,NaN
0.863,-63.477,22.461,23.926,-48.828,NaN
0.867,-62.500,18.555,18.555,-43.457,NaN
0.871,-62.012,17.578,30.273,-42.480,0
0.875,-53.223,23.438,32.227,-47.363,0
0.879,-50.781,16.602,36.621,-47.852,0
0.883,-54.199,1.953,48.828,-47.363,NaN
0.886,-56.152,12.695,41.504,-50.781,NaN
0.890,-52.734,30.762,31.738,-45.898,0
0.894,-41.992,18.066,22.461,-36.133,0
0.898,-30.762,12.207,11.230,-29.785,0
0.902,-33.203,24.902,25.391,-6.836,0
0.906,-45.898,31.250,43.945,0.000,0
0.919,-46.875,38.574,44.922,-7.812,0
0.923,-32.227,35.645,42.480,-4.395,0
0.927,-21.484,21.973,46.387,0.488,NaN
0.931,-25.879,21.484,44.922,0.977,0
0.935,-20.996,35.156,51.270,-5.371,0
0.939,-13.184,43.457,62.012,2.930,0
0.942,-19.043,45.410,40.039,9.277,0
0.946,-12.695,38.574,13.672,24.414,0
0.950,-13.672,34.668,35.156,25.391,0
0.954,-33.691,31.250,56.641,4.395,NaN
0.958,-38.574,27.832,51.270,-1.465,NaN
0.962,-34.668,27.832,40.039,-2.930,0
0.957,-41.504,19.043,37.109,-2.930,0
0.961,-45.898,16.113,46.875,0.977,NaN
0.965,-41.504,16.602,52.246,-12.207,NaN
0.969,-42.480,13.184,54.199,-16.113,0
0.973,-44.922,10.742,48.828,-10.254,0
0.977,-46.875,10.254,39.062,-23.438,0
0.980,-38.086,10.742,44.434,-22.461,0
0.984,-34.180,13.184,47.852,-17.578,0
0.988,-42.480,7.324,47.852,-30.273,NaN
0.992,-51.758,0.488,47.852,-37.598,0
0.996,-54.199,6.348,36.621,-33.691,0
1.000,-47.852,12.695,30.762,-33.691,0
1.013,-53.223,-0.977,26.367,-32.715,0
1.017,-52.734,8.789,32.715,-32.715,0
1.021,-46.875,22.949,35.156,-40.527,NaN
1.025,-51.270,17.090,18.555,-33.691,0
1.029,-54.199,26.367,21.973,-19.531,0
1.033,-57.617,24.414,38.574,-27.832,0
1.036,-59.082,9.277,41.016,-38.086,0
1.040,-62.500,12.695,36.133,-31.250,NaN
1.044,-65.918,17.090,27.832,-32.227,0
1.048,-48.340,15.625,31.738,-39.062,0
1.052,-36.133,25.391,35.645,-28.809,0
1.056,-36.621,20.020,12.207,-26.855,NaN
1.050,-35.156,16.602,20.508,-27.832,NaN
1.054,-35.156,26.855,35.156,-20.020,NaN
1.058,-40.039,33.203,22.949,-20.020,0
1.062,-41.016,30.762,33.691,-21.973,0
1.066,-34.180,20.996,46.875,-16.602,NaN
1.070,-40.039,26.367,33.691,-25.391,0
1.073,-43.945,29.785,32.227,-34.180,NaN
1.077,-42.480,24.902,33.691,-26.855,0
1.081,-46.387,26.367,13.672,-21.484,0
1.085,-45.410,17.090,6.836,-27.344,0
1.089,-44.434,10.742,15.625,-24.902,NaN
1.093,-46.387,12.207,22.949,-22.949,0
1.107,-54.688,6.836,20.996,-37.109,0
1.111,-58.594,13.672,22.949,-34.668,0
1.115,-52.246,19.043,30.762,-35.645,0
1.119,-52.246,13.672,27.832,-41.504,0
1.123,-55.176,11.719,9.766,-45.898,0
1.127,-58.594,8.789,-4.883,-44.434,NaN
1.130,-58.594,1.465,-8.301,-38.574,0
1.134,-47.852,-7.324,-1.465,-35.645,0
1.138,-51.758,4.883,9.766,-48.828,0
1.142,-61.035,18.555,20.996,-50.781,NaN
1.146,-61.035,15.625,29.785,-38.574,NaN
1.150,-56.641,18.555,22.461,-43.945,NaN
1.145,-49.316,21.484,26.855,-29.297,0
1.149,-46.387,22.461,41.504,-19.043,0
1.153,-51.270,20.508,33.203,-31.250,0
1.157,-47.363,12.695,20.996,-37.109,NaN
1.161,-54.688,13.184,23.926,-41.504,0
1.165,-65.918,18.066,32.715,-50.781,0
1.168,-73.242,15.625,23.438,-65.918,0
1.172,-88.867,23.926,11.230,-84.473,0
1.176,-99.609,34.668,14.648,-97.656,NaN
1.180,-116.699,27.832,15.137,-113.281,0
1.184,-134.766,22.461,1.465,-128.418,0
1.188,-151.367,26.855,-3.906,-154.785,0
1.201,-158.691,32.715,12.695,-169.434,0
1.205,-165.039,33.203,28.809,-171.875,0
1.209,-169.922,46.875,33.203,-172.852,0
1.213,-169.922,54.199,40.527,-171.387,0
1.217,-164.551,52.734,43.457,-174.316,0
1.221,-149.414,42.480,40.039,-156.250,NaN
1.224,-130.859,20.508,30.273,-130.859,0
1.228,-131.348,13.184,2.930,-118.164,0
1.232,-113.281,4.395,-4.395,-106.445,0
1.236,-87.402,-2.441,19.531,-93.750,NaN
1.240,-91.797,4.395,20.996,-91.797,NaN
1.244,-79.590,6.348,12.207,-84.473,NaN
1.238,-72.754,3.906,0.977,-73.242,0
1.242,-71.777,-6.348,-2.441,-63.965,0
