timestamps,TP9,AF7,AF8,TP10,Marker0
0.789,-18.066,-10.254,-21.973,-22.461,0
0.793,-20.996,-10.254,-41.016,-20.996,0
0.796,-19.531,-18.066,-39.551,-18.555,NaN
0.800,-18.066,-23.438,-20.020,-24.902,0
0.804,-18.555,-13.672,-16.113,-24.414,0
0.808,-21.484,-20.996,-25.879,-21.484,0
0.812,-23.438,-35.156,-35.645,-22.949,NaN
0.816,-28.809,-22.461,-32.227,-21.484,0
0.819,-27.832,-19.043,-18.066,-23.926,0
0.823,-33.691,-29.785,-15.625,-26.367,0
0.827,-30.273,-27.344,-15.625,-17.090,0
0.831,-35.156,-26.855,-17.090,-23.438,NaN
0.835,-49.316,-24.414,-27.832,-41.504,0
0.839,-43.457,-20.996,-39.551,-38.574,0
0.840,-34.668,-19.043,-43.457,-30.273,NaN
0.844,-27.832,-41.504,-37.109,-23.438,0
0.848,-23.926,-59.570,-31.250,-24.414,0
0.852,-23.438,-32.227,-34.180,-41.016,0
0.856,-24.414,-5.859,-20.020,-38.086,NaN
0.860,-27.344,-2.441,-2.930,-33.691,0
0.863,-33.691,-4.395,-9.277,-35.645,0
0.867,-19.043,-6.348,-19.531,-16.602,0
0.871,0.488,-19.043,-16.602,-5.371,0
0.875,-9.766,-13.672,-14.648,-21.484,NaN
0.879,-22.461,-0.977,-16.602,-35.156,0
0.883,-25.879,-11.719,-19.043,-30.762,0
0.885,-23.926,-23.438,-40.039,-26.367,NaN
0.889,-23.926,-29.785,-40.527,-29.785,0
0.893,-22.949,-25.879,-23.926,-24.414,0
0.897,-25.391,-11.719,-31.738,-25.391,0
0.901,-26.367,-22.461,-27.832,-33.691,0
0.905,-27.832,-41.992,-13.672,-34.180,NaN
0.908,-33.203,-39.551,-13.184,-34.668,0
0.912,-33.691,-21.973,-16.113,-35.156,0
0.916,-31.738,-5.371,-17.578,-32.715,0
0.920,-30.273,-5.371,-21.973,-35.156,0
0.924,-26.855,-9.766,-21.484,-23.926,NaN
0.928,-31.250,-6.836,-19.531,-22.949,0
0.931,-41.016,-26.367,-35.645,-41.504,0
0.935,-39.551,-40.039,-56.152,-31.738,0
0.939,-33.691,-46.875,-63.477,-25.879,NaN
0.943,-35.645,-44.434,-37.598,-31.738,0
0.947,-32.227,-24.414,-8.301,-23.926,0
0.951,-29.297,-25.391,-9.766,-24.414,0
0.954,-38.574,-31.250,-19.043,-28.320,NaN
0.958,-42.480,-37.109,-27.832,-26.367,0
0.962,-39.062,-38.574,-26.855,-25.391,0
0.966,-38.574,-36.621,-19.043,-21.484,0
0.970,-31.738,-34.668,-25.391,-18.066,NaN
0.974,-32.715,-22.461,-28.320,-26.367,0
0.975,-42.480,-36.621,-23.438,-31.250,NaN
0.979,-41.992,-37.598,-22.949,-26.367,0
0.983,-40.527,-15.137,-26.367,-25.391,0
0.987,-47.852,-21.973,-52.734,-24.902,0
0.991,-50.293,-38.086,-62.988,-29.297,NaN
0.995,-47.852,-32.227,-30.273,-37.109,0
0.998,-52.734,-23.926,-7.324,-43.945,0
1.002,-52.246,-28.809,-13.184,-41.992,0
1.006,-41.504,-37.109,-20.020,-37.109,NaN
1.010,-37.109,-33.203,-26.855,-31.738,0
1.014,-34.180,-24.414,-32.715,-32.715,0
1.018,-27.344,-23.926,-26.367,-29.785,0
1.021,-21.973,-22.461,-13.672,-25.391,NaN
1.025,-31.738,-34.180,-16.602,-40.039,0
1.029,-33.203,-25.391,-27.344,-36.621,0
1.033,-23.926,-3.418,-41.016,-26.855,0
1.037,-31.250,-15.625,-37.598,-28.809,0
1.041,-27.344,-15.137,-24.414,-11.230,NaN
1.044,-25.391,-13.672,-35.156,-7.324,0
