time_s,state,plv,omega_star_hz,omega_mode_hz,sigma_omega_hz,ratio
196.49,Low,0.1406,1.75,1.94,0.933,0.1507
197.48,Low,0.1432,1.75,2.25,0.859,0.1667
198.48,Mid,0.1742,2.38,2.19,0.223,0.7806
199.47,Mid,0.1755,2.00,2.00,0.541,0.3243
200.48,Low,0.1453,1.00,1.94,0.949,0.1530
201.48,Low,0.1224,1.00,1.94,0.313,0.3916
202.47,Mid,0.1542,3.00,3.00,0.545,0.2829
203.48,Mid,0.1839,3.00,2.13,0.619,0.2971
204.48,High,0.2497,1.75,2.25,0.650,0.3845
205.47,High,0.2372,1.75,1.81,0.364,0.6509
206.48,High,0.2995,2.38,2.06,0.615,0.4871
207.48,High,0.2531,1.63,2.25,0.731,0.3463
208.47,Mid,0.1612,2.38,2.38,0.240,0.6715
209.48,Mid,0.1797,1.13,2.00,0.217,0.8299
210.48,Mid,0.1932,1.00,1.38,0.949,0.2035
211.47,Mid,0.1911,1.63,1.63,0.293,0.6520
212.48,Mid,0.1664,1.50,1.50,0.854,0.1948
213.48,High,0.2245,2.00,1.75,0.395,0.5679
214.47,Mid,0.1940,1.50,1.56,0.921,0.2107
215.48,High,0.2151,1.75,1.75,0.454,0.4738
216.48,High,0.2693,2.75,2.75,0.379,0.7106
217.49,High,0.2474,2.75,2.75,0.379,0.6529
218.48,Mid,0.1859,2.75,2.75,0.271,0.6870
219.48,Mid,0.1846,2.75,2.75,10.742,0.0172
220.47,Mid,0.1628,2.50,2.50,0.272,0.5974
221.48,High,0.2102,2.88,2.81,0.688,0.3057
222.48,Mid,0.1935,1.63,1.63,0.563,0.3440
223.47,Mid,0.2013,2.88,2.25,0.658,0.3060
224.48,Mid,0.1896,2.88,2.63,0.462,0.4099
225.48,High,0.2432,1.63,1.50,0.462,0.5259
226.47,High,0.2096,1.75,1.94,1.116,0.1879
227.48,High,0.2242,1.75,1.94,0.667,0.3360
228.48,High,0.2099,1.63,1.63,0.832,0.2524
229.47,Mid,0.2013,1.25,2.06,0.970,0.2075
230.48,Low,0.1482,2.13,3.13,1.073,0.1381
231.47,Low,0.1411,2.13,2.75,0.771,0.1832
232.47,Mid,0.1953,2.00,2.50,0.569,0.3430
233.48,Mid,0.1674,2.00,2.44,0.920,0.1820
234.48,High,0.2068,2.00,2.44,0.508,0.4072
235.47,Mid,0.1891,2.88,2.88,0.427,0.4424
236.48,High,0.2039,1.88,1.88,0.054,3.7670
237.47,Mid,0.1669,1.88,1.88,0.054,3.0838
238.47,High,0.2859,2.25,2.25,0.108,2.6412
239.48,High,0.2453,2.13,2.06,0.153,1.6023
240.47,High,0.2365,2.13,2.13,0.162,1.4561
241.47,High,0.2076,2.00,2.06,0.153,1.3556
242.48,High,0.2518,2.38,2.38,0.108,2.3261
243.47,Mid,0.1773,2.38,2.44,0.656,0.2705
244.47,High,0.2060,2.38,2.38,0.323,0.6372
245.48,High,0.2526,2.38,2.25,0.162,1.5555
246.47,High,0.2034,2.25,2.19,0.104,1.9622
247.47,Mid,0.1797,2.25,2.19,0.185,0.9719
248.48,Mid,0.1995,2.13,2.13,0.108,1.8426
249.47,Low,0.1484,2.13,1.63,0.442,0.3359
250.47,Mid,0.1659,2.13,2.13,0.000,NaN
251.48,Mid,0.1674,2.63,2.38,0.285,0.5881
252.47,High,0.2099,2.63,2.44,0.311,0.6750
253.47,Mid,0.1586,1.63,1.69,0.104,1.5301
254.48,High,0.2159,1.63,1.81,0.495,0.4360
255.47,Mid,0.1948,2.50,2.19,0.615,0.3168
256.47,Low,0.1464,1.25,1.56,0.503,0.2910
257.48,Mid,0.1602,1.25,1.25,0.293,0.5463
258.47,Mid,0.1841,2.38,1.13,0.088,2.0829
259.49,Mid,0.1602,2.00,1.50,0.500,0.3203
260.48,Low,0.1331,2.00,1.81,9.625,0.0138
261.47,Low,0.1443,1.25,1.19,0.442,0.3264
262.47,Mid,0.1648,1.25,1.25,0.223,0.7386
263.48,Mid,0.1690,2.50,1.94,0.854,0.1979
264.47,Mid,0.1797,2.38,2.38,9.404,0.0191
265.47,Mid,0.1810,1.25,1.50,0.415,0.4365
266.48,Mid,0.1945,2.38,2.38,9.559,0.0204
267.47,Mid,0.1669,1.50,1.50,0.854,0.1954
268.47,Low,0.1320,1.00,1.50,0.054,2.4392
269.48,Low,0.1503,1.00,1.25,10.269,0.0146
270.47,Mid,0.1578,1.00,2.25,1.010,0.1563
271.47,Mid,0.1609,3.13,2.69,0.773,0.2082
272.48,Low,0.1422,3.13,2.63,9.262,0.0154
273.47,Low,0.1255,1.25,2.56,9.284,0.0135
274.47,Low,0.1096,5.25,3.56,10.937,0.0100
275.48,Low,0.1331,1.00,2.06,11.178,0.0119
276.47,Low,0.1380,2.13,1.75,0.418,0.3301
277.47,Mid,0.1589,1.25,1.88,10.928,0.0145
278.48,Mid,0.1846,1.25,2.19,0.487,0.3790
279.47,Mid,0.1719,2.63,2.56,0.258,0.6669
280.47,Mid,0.1695,2.00,2.00,0.718,0.2361
281.49,Low,0.1336,1.25,1.69,0.438,0.3053
282.47,Low,0.1065,2.88,2.06,0.389,0.2737
283.47,Low,0.1107,2.50,2.44,0.709,0.1561
284.48,Low,0.1341,3.13,2.75,0.622,0.2157
285.47,Mid,0.1555,3.25,2.81,0.872,0.1782
286.47,Mid,0.1753,3.25,1.63,0.778,0.2252
287.48,High,0.2234,3.25,2.69,0.886,0.2521
288.47,Mid,0.1846,3.88,2.31,0.946,0.1952
289.47,Mid,0.1857,1.38,1.38,0.400,0.4639
290.48,Mid,0.1977,1.25,2.19,0.471,0.4198
291.47,Mid,0.1977,1.25,1.50,0.512,0.3863
292.48,Mid,0.1792,1.25,1.44,0.511,0.3509
293.48,Mid,0.1701,1.25,1.25,0.162,1.0472
294.47,Mid,0.2013,1.25,1.50,0.177,1.1387
295.47,Mid,0.1799,1.25,1.38,1.105,0.1628
296.48,Low,0.1500,1.63,1.63,0.631,0.2376
297.47,Mid,0.1737,1.13,1.69,0.603,0.2882
298.47,Mid,0.1622,1.50,1.56,0.271,0.5994
299.48,Mid,0.1625,2.13,2.13,0.563,0.2889
300.47,Mid,0.1604,2.50,2.25,0.325,0.4939
301.47,Mid,0.1719,2.50,2.13,0.622,0.2764
302.48,Low,0.1378,2.38,2.44,0.424,0.3250
303.50,Low,0.1437,2.63,2.00,0.687,0.2093
304.47,Mid,0.1583,1.50,1.50,0.698,0.2268
305.48,Low,0.1427,1.63,1.63,0.647,0.2207
306.47,Low,0.1430,1.50,1.63,0.569,0.2514
307.47,Low,0.1451,1.00,1.56,0.104,1.3994
308.48,Mid,0.1857,1.00,1.88,0.286,0.6482
309.47,High,0.2221,3.00,1.38,0.742,0.2996
310.47,High,0.2065,1.50,1.38,0.286,0.7210
311.48,High,0.2086,1.50,1.38,0.162,1.2845
312.47,Mid,0.1661,1.25,1.44,0.185,0.8986
313.47,Mid,0.1599,1.50,1.50,0.177,0.9045
314.48,Low,0.1513,1.63,1.69,9.563,0.0158
315.47,Low,0.1396,1.00,12.31,11.937,0.0117
316.47,Low,0.1466,1.00,2.25,9.450,0.0155
317.48,Mid,0.1565,1.00,1.31,10.033,0.0156
318.47,Low,0.1536,1.00,1.38,10.015,0.0153
319.47,Low,0.1404,1.00,1.69,0.538,0.2611
320.48,Low,0.1526,1.00,1.81,0.358,0.4266
321.47,Low,0.1451,1.38,1.81,0.271,0.5359
322.47,Low,0.1526,2.13,1.94,0.188,0.8138
323.48,Mid,0.1672,1.75,1.75,0.108,1.5443
324.47,Mid,0.1714,2.88,2.38,0.608,0.2816
325.47,High,0.2076,2.88,2.88,0.893,0.2325
326.48,High,0.2589,2.88,2.88,0.000,NaN
327.47,High,0.3096,1.50,1.69,0.563,0.5504
328.47,High,0.2529,1.63,2.00,0.767,0.3295
329.48,High,0.2156,1.63,1.63,0.409,0.5276
330.47,Mid,0.1698,1.75,1.75,0.054,3.1367
331.47,Mid,0.1544,1.13,1.50,0.492,0.3138
332.48,Mid,0.1659,1.00,1.38,0.511,0.3248
333.47,Mid,0.1669,1.00,1.38,0.286,0.5828
334.49,Mid,0.1690,2.13,2.13,0.752,0.2247
335.46,Low,0.1510,1.38,1.50,0.265,0.5696
336.47,Low,0.1477,1.88,1.63,0.442,0.3341
337.47,Mid,0.1630,1.25,1.44,0.265,0.6148
338.46,High,0.2107,1.75,1.75,0.325,0.6487
339.47,Mid,0.1914,1.13,1.44,0.347,0.5522
340.47,High,0.2271,1.13,1.50,0.409,0.5557
341.46,High,0.2323,1.00,1.38,0.446,0.5204
342.47,Mid,0.1786,1.75,1.44,0.313,0.5716
343.47,Mid,0.1599,2.50,1.81,0.576,0.2775
344.46,Low,0.1456,2.38,1.88,0.399,0.3648
345.47,Mid,0.1818,2.25,2.25,0.615,0.2957
346.47,High,0.2057,1.88,2.06,0.424,0.4853
347.46,Mid,0.1878,1.50,1.50,0.586,0.3202
348.47,High,0.2039,1.63,1.44,0.656,0.3110
